poll_time_utc,entities_seen,rows_written,status
2026-09-08T17:32:01.344286+00:00,172,49,ok
2026-09-08T17:33:32.292798+00:00,172,49,ok
2026-09-08T17:35:03.186794+00:00,172,49,ok
2026-09-08T17:36:34.105547+00:00,172,49,ok
2026-09-08T17:38:07.284119+00:00,172,55,ok
2026-09-08T20:10:01.260613+00:00,319,193,ok
2026-09-08T20:11:32.860528+00:00,322,187,ok
2026-09-08T20:13:04.229893+00:00,325,187,ok
2026-09-08T20:14:35.565784+00:00,325,189,ok
2026-09-08T20:16:07.101415+00:00,329,192,ok
2026-09-08T22:37:48.044856+00:00,437,334,ok
2026-09-08T22:39:19.691880+00:00,438,334,ok
2026-09-08T22:40:51.272842+00:00,440,340,ok
2026-09-08T22:42:22.831020+00:00,440,334,ok
2026-09-08T22:43:54.401830+00:00,440,328,ok
2026-09-09T00:33:30.179054+00:00,446,233,ok
2026-09-09T00:35:02.024602+00:00,445,230,ok
2026-09-09T00:36:35.356225+00:00,442,227,ok
2026-09-09T00:38:07.034826+00:00,446,229,ok
2026-09-09T00:39:38.616966+00:00,442,229,ok
2026-09-09T05:06:26.185562+00:00,518,256,ok
2026-09-09T05:07:57.803743+00:00,526,258,ok
2026-09-09T05:09:29.516983+00:00,516,254,ok
2026-09-09T05:11:00.871671+00:00,520,253,ok
2026-09-09T05:12:32.216751+00:00,521,260,ok
2026-09-09T09:37:49.260142+00:00,531,248,ok
2026-09-09T09:39:20.764004+00:00,527,244,ok
2026-09-09T09:40:51.681378+00:00,528,241,ok
2026-09-09T09:42:22.926445+00:00,532,238,ok
2026-09-09T09:43:54.256327+00:00,532,241,ok
