service_date,trip_id,stop_id,route_id,route_short_name,stop_sequence,stops_ahead,arrival_delay_s,departure_delay_s,schedule_relationship,observed_at_utc
2026-09-15,107D.812.149.12.T.8.91115601,2060101,NSN_2k,T1,-1,0,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,107D.812.149.12.T.8.91115601,206141,NSN_2k,T1,-1,1,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,107D.812.149.12.T.8.91115601,2000403,NSN_2k,T1,-1,2,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,202C.812.149.124.H.8.91117613,2000336,NSN_1a,T1,-1,0,88,58,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,202C.812.149.124.H.8.91117613,2000393,NSN_1a,T1,-1,1,58,28,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,202C.812.149.124.H.8.91117613,2000404,NSN_1a,T1,-1,2,28,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,149C.812.149.8.A.8.91117632,2145661,WST_2d,T1,-1,0,49,49,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,149C.812.149.8.A.8.91117632,2150411,WST_2d,T1,-1,1,49,19,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,149C.812.149.8.A.8.91117632,2135234,WST_2d,T1,-1,2,19,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,195D.812.149.12.B.8.91116355,2077302,NSN_1a,T1,-1,0,148,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,195D.812.149.12.B.8.91116355,2077292,NSN_1a,T1,-1,1,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,195D.812.149.12.B.8.91116355,2079102,NSN_1a,T1,-1,2,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,108D.812.149.56.T.8.91116153,2000336,NSN_1a,T1,-1,0,82,52,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,108D.812.149.56.T.8.91116153,2000393,NSN_1a,T1,-1,1,52,22,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,108D.812.149.56.T.8.91116153,2000404,NSN_1a,T1,-1,2,22,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,326B.812.149.8.H.4.91118412,202292,ESI_1a,T4,-1,0,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,326B.812.149.8.H.4.91118412,202761,ESI_1a,T4,-1,1,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,326B.812.149.8.H.4.91118412,201171,ESI_1a,T4,-1,2,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,156C.812.149.12.A.8.91118705,207263,NSN_1a,T1,-1,0,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,156C.812.149.12.A.8.91118705,2073162,NSN_1a,T1,-1,1,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,156C.812.149.12.A.8.91118705,2074182,NSN_1a,T1,-1,2,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,607L.812.148.36.T.8.91118230,2000329,ESI_2a,T4,-1,0,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,151E.812.149.12.A.8.91118617,2760304,WST_1a,T1,-1,0,45,45,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,151E.812.149.12.A.8.91118617,2747372,WST_1a,T1,-1,1,45,45,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,151E.812.149.12.A.8.91118617,2747362,WST_1a,T1,-1,2,45,45,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,197M.812.148.4.B.8.91115136,2077312,NSN_1a,T1,-1,0,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,197M.812.148.4.B.8.91115136,2077302,NSN_1a,T1,-1,1,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,150F.812.149.12.A.8.91117357,2770592,WST_2c,T1,-1,0,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,150F.812.149.12.A.8.91117357,2766142,WST_2c,T1,-1,1,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,150F.812.149.12.A.8.91117357,2767122,WST_2c,T1,-1,2,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,606B.812.149.108.T.8.91115217,2222132,ESI_1d,T4,-1,0,40,40,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,606B.812.149.108.T.8.91115217,2223302,ESI_1d,T4,-1,1,40,40,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,606B.812.149.108.T.8.91115217,2226112,ESI_1d,T4,-1,2,40,40,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,625E.812.149.104.T.8.91118013,202291,ESI_1a,T4,-1,0,106,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,625E.812.149.104.T.8.91118013,202761,ESI_1a,T4,-1,1,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,625E.812.149.104.T.8.91118013,201171,ESI_1a,T4,-1,2,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,158C.812.149.8.A.8.91114571,2000393,NSN_1a,T1,-1,0,172,142,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,158C.812.149.8.A.8.91114571,2000404,NSN_1a,T1,-1,1,142,112,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,158C.812.149.8.A.8.91114571,206142,NSN_1a,T1,-1,2,112,112,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,624C.812.149.120.T.8.91117270,2232282,ESI_1a,T4,-1,0,72,88,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,624C.812.149.120.T.8.91117270,2233272,ESI_1a,T4,-1,1,88,88,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,624C.812.149.120.T.8.91117270,2233282,ESI_1a,T4,-1,2,88,88,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,610P.812.148.4.T.8.91115128,2230211,ESI_1d,T4,-1,0,19,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,143D.812.149.8.A.8.91117271,2077311,NSN_2k,T1,-1,0,52,100,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,143D.812.149.8.A.8.91117271,2076241,NSN_2k,T1,-1,1,100,100,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,143D.812.149.8.A.8.91117271,2074191,NSN_2k,T1,-1,2,100,100,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,145E.812.149.12.A.8.91114537,2000338,WST_1a,T1,-1,0,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,145E.812.149.12.A.8.91114537,2015134,WST_1a,T1,-1,1,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,145E.812.149.12.A.8.91114537,2135236,WST_1a,T1,-1,2,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,120F.812.149.8.A.8.91118891,208172,NSN_1a,T1,-1,0,14,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,103E.812.149.8.T.8.91117758,2067141,NSN_2k,T1,-1,0,24,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
